ID,Clave,Nombre,Grupo ID,Grupo
134,Komorebi-Equipos,Equipos,24,
158,Menaje-Equipos,Equipos,28,
301,Perros-Equipos,Equipos,32,
307,PH360-Equipos,Equipos,33,
219,Montemadero-Equipos Cocina,Equipos Cocina,30,
220,Montemadero-Escombros,Escombros,30,
27,Beguido-Venta-Escritura,Escritura,5,
12,Apto 402 - Venta-Escritura 402,Escritura 402,3,
351,Slow - Venta-Escrituras,Escrituras,44,
108,Estafa-Estafa,Estafa,19,
221,Montemadero-Estanterías,Estanterías,30,
222,MonteMadero-Estructura metálica,Estructura metálica,30,
223,MonteMadero-Estudio apantallamiento,Estudio apantallamiento,30,
224,MonteMadero-Estudio de suelos,Estudio de suelos,30,
54,Bosques.Terrarios-Eventos,Eventos,9,
35,Bosques.Bonsái-Eventos,Eventos,7,
343,Salud-Examenes,Examenes,43,
111,Fotografía-F.Clases,F.Clases,21,
112,Fotografía-F.Equipos,F.Equipos,21,
113,Fotografía-F.LR y PH,F.LR y PH,21,
367,Tita-Facturacion Sigo,Facturacion Sigo,46,
324,Regalos-Familia,Familia,39,
225,MonteMadero-Ferreteria,Ferreteria,30,
36,Bosques.Bonsái-Fertilizantes,Fertilizantes,7,
55,Bosques.Terrarios-Fertilizantes,Fertilizantes,9,
93,Diversiones-Fiestas,Fiestas,14,
109,Fiducuenta-Fondo Renta,Fondo Renta,20,
313,RC Gastos-Foto Multa,Foto Multa,37,
114,Fotografía-Foto Paseos,Foto Paseos,21,
56,Bosques.Terrarios-Frascos,Frascos,9,
368,Tita-Fuente Clara,Fuente Clara,46,
226,MonteMadero-Fundaciones,Fundaciones,30,
344,Salud-Gafas,Gafas,43,
314,RC Gastos-Gafas,Gafas,37,
1,Animales-Gallinas,Gallinas,1,
159,Menaje-Garaje,Garaje,28,
227,Montemadero-Gas,Gas,30,
74,Carro-Gasolina,Gasolina,10,
315,RC Gastos-Gastos,Gastos,37,
98,Educación-Gemini,Gemini,16,
99,Educación-GitHub,GitHub,16,
228,Montemadero-Grama,Grama,30,
229,MonteMadero-Griferias,Griferias,30,
316,RC Gastos-Gym,Gym,37,
89,Deporte-Gym,Gym,13,
160,Menaje-Habitaciones,Habitaciones,28,
57,Bosques.Terrarios-Herramientas,Herramientas,9,
161,Menaje-Herramientas,Herramientas,28,
37,Bosques.Bonsái-Herramientas,Herramientas,7,
230,MonteMadero-Herramientas,Herramientas,30,
135,Komorebi-Hidroponía,Hidroponía,24,
231,MonteMadero-Hidrosanitarias,Hidrosanitarias,30,
232,MonteMadero-Hierro,Hierro,30,
233,MonteMadero-Hierro y plomeria,Hierro y plomeria,30,
234,Montemadero-Hierro y PVC,Hierro y PVC,30,
235,MonteMadero-Horno de leña,Horno de leña,30,
162,Menaje-Horno Leña,Horno Leña,28,
236,Montemadero-Huerta,Huerta,30,
136,Komorebi-Huerta,Huerta,24,
72,Carro-ICar 03,ICar 03,10,
237,MonteMadero-Iluminación,Iluminación,30,
58,Bosques.Terrarios-Impresión 3D,Impresión 3D,9,
119,Impuestos-Impuestos,Impuestos,22,
369,Tita-Impuestos,Impuestos,46,
75,Carro-Impuestos,Impuestos,10,
238,MonteMadero-Inducción,Inducción,30,
352,Slow - Venta-Ingresos,Ingresos,44,
44,Bosques.Cuadros-Insumos,Insumos,8,
13,Apto 402 - Venta-Intereses,Intereses,3,
23,Bancolombia-Intereses,Intereses,4,
123,Inversiones-Intereses,Intereses,23,
5,Apartamento-Internet,Internet,2,
137,Komorebi-Internet,Internet,24,
370,Tita-Internet,Internet,46,
239,MonteMadero-Interventoria,Interventoria,30,
240,Montemadero-Invernadero,Invernadero,30,
124,Inversiones-Inversiones,Inversiones,23,
371,Tita-Inversiones,Inversiones,46,
372,Tita-Iva,Iva,46,
120,Impuestos-IVA,IVA,22,
138,Komorebi-Jardín,Jardín,24,
163,Menaje-Jardín,Jardín,28,
373,Tita-Jardín,Jardín,46,
241,Montemadero-Jardín,Jardín,30,
333,Ropa-Jean,Jean,41,
242,Montemadero-Lamparas,Lamparas,30,
59,Bosques.Terrarios-Lámparas,Lámparas,9,
76,Carro-Lavadas,Lavadas,10,
164,Menaje-Lavandería,Lavandería,28,
243,Montemadero-Lavandería,Lavandería,30,
14,Apto 402 - Venta-Levantamiento Bancolombia,Levantamiento Bancolombia,3,
148,Libido-Libido,Libido,25,
115,Fotografía-Libro 70 años,Libro 70 años,21,
244,MonteMadero-Licencia de construcción,Licencia de construcción,30,
374,Tita-Lina María Gallón,Lina María Gallón,46,
245,MonteMadero-Losa P1,Losa P1,30,
812,Bosques-Terrarios - Luis Fernando Londoño,Luis Fernando Londoño,9,
246,MonteMadero-Mampostería,Mampostería,30,
139,Komorebi-Mantenimiento,Mantenimiento,24,
247,Montemadero-Mantenimiento,Mantenimiento,30,
77,Carro-Mantenimiento,Mantenimiento,10,
6,Apartamento-Mantenimiento,Mantenimiento,2,
60,Bosques.Terrarios-Mantenimientos,Mantenimientos,9,
38,Bosques.Bonsái-Mantenimientos,Mantenimientos,7,
305,PH360-Marca,Marca,33,
345,Salud-Masajes,Masajes,43,
39,Bosques.Bonsái-Materas,Materas,7,
248,Montemadero-Material playa,Material playa,30,
249,Montemadero-Materiales,Materiales,30,
40,Bosques.Bonsái-Materiales,Materiales,7,
61,Bosques.Terrarios-Materiales,Materiales,9,
250,Montemadero-Medidor agua,Medidor agua,30,
174,Mercado-Menaje,Menaje,29,
140,Komorebi-Menaje,Menaje,24,
175,Mercado-Mercado,Mercado,29,
377,Tita-Mercado,Mercado,46,
298,Pensión-Mesada,Mesada,31,
251,MonteMadero-Mesones,Mesones,30,
252,Montemadero-Mesones Cocina,Mesones Cocina,30,
100,Educación-Microsoft,Microsoft,16,
253,MonteMadero-MO Electricidad,MO Electricidad,30,
45,Bosques.Cuadros-MO Halis,MO Halis,8,
254,MonteMadero-MO Mampotería,MO Mampotería,30,
255,Montemadero-MO Oficios varios,MO Oficios varios,30,
256,Montemadero-MO Porcelanato,MO Porcelanato,30,
257,MonteMadero-MO Samuel Goez,MO Samuel Goez,30,
258,MonteMadero-Morteros,Morteros,30,
317,RC Gastos-Moto,Moto,37,
259,MonteMadero-Movimiento Tierra,Movimiento Tierra,30,
260,Montemadero-Mueble hobbies y tapa cajon,Mueble hobbies y tapa cajon,30,
165,Menaje-Muebles,Muebles,28,
141,Komorebi-Muebles,Muebles,24,
261,MonteMadero-Muebles,Muebles,30,
78,Carro-Multas,Multas,10,
62,Bosques.Terrarios-Musgos,Musgos,9,
46,Bosques.Cuadros-Musgos,Musgos,8,
378,Tita-Netflix,Netflix,46,
811,Salud - Odontologia,Odontologia,43,
318,RC Gastos-Odontología,Odontología,37,
379,Tita-Odontología,Odontología,46,
322,Regalo-Olivos,Olivos,38,
101,Educación-OpenAI,OpenAI,16,
63,Bosques.Terrarios-Orquídeas,Orquídeas,9,
47,Bosques.Cuadros-Otros,Otros,8,
380,Tita-Otros,Otros,46,
96,Donaciones-Otros,Otros,15,
353,Slow - Venta-Otros,Otros,44,
166,Menaje-Otros,Otros,28,
302,Perros-Otros,Otros,32,
150,MasterCard COP-Pagos,Pagos,26,
24,Bancolombia-Pagos,Pagos,4,
152,MasterCard USD-Pagos,Pagos,27,
262,Montemadero-Parqueadero,Parqueadero,30,
79,Carro-Parqueadero,Parqueadero,10,
402,Vacaciones-Paseos,Paseos,50,
319,RC Gastos-Paty,Paty,37,
167,Menaje-PC,PC,28,
102,Educación-PDF Filler,PDF Filler,16,
80,Carro-Peajes,Peajes,10,
263,Montemadero-Películas polarizados,Películas polarizados,30,
381,Tita-Peluqueria,Peluqueria,46,
320,RC Gastos-Personales,Personales,37,
103,Educación-PH360,PH360,16,
264,MonteMadero-Pilotes,Pilotes,30,
265,MonteMadero-Pintura,Pintura,30,
142,Komorebi-Pipetas de gas,Pipetas de gas,24,
266,Montemadero-Piso Spc,Piso Spc,30,
267,Montemadero-Pisos,Pisos,30,
268,MonteMadero-Planta de tratamiento de aguas,Planta de tratamiento de aguas,30,
64,Bosques.Terrarios-Plantas,Plantas,9,
176,Mercado-Plaza,Plaza,29,
269,MonteMadero-Plomeria,Plomeria,30,
270,MonteMadero-Plomeria y Electricidad,Plomeria y Electricidad,30,
271,Montemadero-Polines,Polines,30,
308,Por Clasificar-Por Clasificar,Por Clasificar,34,
143,Komorebi-Portada,Portada,24,
272,Montemadero-Portada,Portada,30,
346,Salud-Pos,Pos,43,
382,Tita-Pos_-_El_Tunal,Pos - El Tunal,46,
383,Tita-Pos Tere,Pos Tere,46,
273,MonteMadero-Pozuelo Cocina,Pozuelo Cocina,30,
106,El Tunal-Predial,Predial,17,
144,Komorebi-Predial,Predial,24,
384,Tita-Predial_-_El_Tunal,Predial - El Tunal,46,
385,Tita-Predial Fuente Clara,Predial Fuente Clara,46,
274,MonteMadero-Preliminares y Campamento,Preliminares y Campamento,30,
347,Salud-Prepagada,Prepagada,43,
387,Tita-Prestamo-Tere,Prestamo-Tere,46,
309,Prestamos-Prestamos,Prestamos,35,
386,Tita-Prestamos,Prestamos,46,
388,Tita-Pricesmart,Pricesmart,46,
354,Suscripciones-Prime,Prime,45,
15,Apto 402 - Venta-Proceso compra venta J. Zuñiga,Proceso compra venta J. Zuñiga,3,
275,MonteMadero-Propinas,Propinas,30,
389,Tita-Protección Tita,Protección Tita,46,
168,Menaje-Puertas,Puertas,28,
276,Montemadero-Puertas Madera,Puertas Madera,30,
277,MonteMadero-Puertas Metálicas,Puertas Metálicas,30,
278,Montemadero-Pvc,Pvc,30,
325,Regalos-RC,RC,39,
279,Montemadero-Red Datos,Red Datos,30,
280,MonteMadero-Reembolso,Reembolso,30,
90,Deporte-Refrigerios,Refrigerios,13,
326,Regalos-Regalos,Regalos,39,
390,Tita-Regalos,Regalos,46,
281,MonteMadero-Registro Escritura Compra,Registro Escritura Compra,30,
282,MonteMadero-Rejillas carcamos,Rejillas carcamos,30,
125,Inversiones-Rendimientos,Rendimientos,23,
328,Restaurantes-Restaurantes,Restaurantes,40,
391,Tita-Restaurantes,Restaurantes,46,
283,Montemadero-Retie,Retie,30,
25,Bancolombia-Retiro Cajeros,Retiro Cajeros,4,
284,MonteMadero-Revoque,Revoque,30,
285,Montemadero-Riego,Riego,30,
145,Komorebi-Riego,Riego,24,
321,RC Gastos-Ropa,Ropa,37,
169,Menaje-Ropa,Ropa,28,
334,Ropa-Ropa,Ropa,41,
28,Beguido-Venta-Rte Fte,Rte Fte,5,
121,Impuestos-Rte Fuente,Rte Fuente,22,
375,Tita-Salarios_-_Tere,Salarios - Tere,46,
392,Tita-Saldo Inicial,Saldo Inicial,46,
336,Saldos-Saldo Inicial,Saldo Inicial,42,
146,Komorebi-Seguridad,Seguridad,24,
286,Montemadero-Seguridad Social,Seguridad Social,30,
376,Tita-Seguridad_Social,Seguridad Social,46,
81,Carro-Seguro,Seguro,10,
170,Menaje-Seguros,Seguros,28,
7,Apartamento-Servicios públicos,Servicios públicos,2,
147,Komorebi-Servicios Públicos,Servicios Públicos,24,
393,Tita-Servicios Públicos,Servicios Públicos,46,
82,Carro-Soat,Soat,10,
287,MonteMadero-Subsidio transporte,Subsidio transporte,30,
394,Tita-Sura,Sura,46,
65,Bosques.Terrarios-Sustratos,Sustratos,9,
41,Bosques.Bonsái-Sustratos,Sustratos,7,
288,MonteMadero-Tanques Agua,Tanques Agua,30,
171,Menaje-Tapetes,Tapetes,28,
289,Montemadero-Techos,Techos,30,
83,Carro-Tecno Mecánica,Tecno Mecánica,10,
290,Montemadero-Tendedero,Tendedero,30,
395,Tita-Tenna,Tenna,46,
396,Tita-Tere Granda,Tere Granda,46,
397,Tita-Tigo,Tigo,46,
327,Regalos-Tita,Tita,39,
291,MonteMadero-Topografía,Topografía,30,
84,Carro-ToyotaCross,ToyotaCross,10,
292,MonteMadero-Trabajadores,Trabajadores,30,
116,Fotografía-Transporte,Transporte,21,
293,MonteMadero-Transporte,Transporte,30,
399,Traslado-Traslado,Traslado,47,
398,Tita-Traslado,Traslado,46,
310,Protección-Traslados,Traslados,36,
42,Bosques.Bonsái-Trasporte,Trasporte,7,
400,Trasporte-Trasporte,Trasporte,48,
49,Bosques.Cuadros-Trasporte,Trasporte,8,
66,Bosques.Terrarios-Trasporte,Trasporte,9,
401,Trasteos-Trasteo,Trasteo,49,
104,Educación-Udemy,Udemy,16,
403,Vacaciones-Vacaciones,Vacaciones,50,
404,Varios-Varios,Varios,51,
294,MonteMadero-Ventanas,Ventanas,30,
43,Bosques.Bonsái-Ventas,Ventas,7,
67,Bosques.Terrarios-Ventas,Ventas,9,
48,Bosques.Cuadros-Ventas,Ventas,8,
303,Perros-Venterinaria,Venterinaria,32,
295,MonteMadero-Via acceso,Via acceso,30,
68,Bosques.Terrarios-Vidrios,Vidrios,9,
296,MonteMadero-Vigas amarre,Vigas amarre,30,
311,Protección-Vista,Vista,36,
69,Bosques.Terrarios-Vitrales,Vitrales,9,
297,Montemadero-Vivero,Vivero,30,
16,Apto 402 - Venta-Vueltas levatar valorización,Vueltas levatar valorización,3,
348,Salud-Yoga,Yoga,43,
105,Educación-YouTube,YouTube,16,
335,Ropa-Zapatos,Zapatos,41,
